"","open_water","develop_openspace","develop_medintense","develop_lowintense","develop_highintense","barren_land","decid_forest","evergreen_forest","mixed_forest","dwarf_scrub","shrub_scrub","herbacious","sedge_herb","lichen","moss","pasture","cultivate_crops","wood_wetlands","herb_wetlands","id","year","radius"
"1","0","0.002295552","0.117360115","0.711908178","0.164418938","0.001147776","0","0","0","0","0.00143472","0","0","0","0","0.00143472","0","0","0",6,2006,1000
"2","0.3898029144","0.0303367308","0.0944841265","0.2050079683","0.2550188601","0.003026794","0.0054000757","0.0038752135","0.005961867","0","0.0006993729","0.0003783493","0","0","0","0.0017312345","0","0.0025567237","0.0017197693",6,2006,5000
"3","0","0.002008608","0.116499283","0.711908178","0.165566714","0.001147776","0","0","0","0","0.00143472","0","0","0","0","0.00143472","0","0","0",6,2016,1000
"4","0.3881290056","0.0297061487","0.0927987526","0.2066245514","0.2582176311","0.0029580032","0.0052968895","0.0033707479","0.0059504019","0","0.0005044657","0.0004586052","0","0","0","0.0016968391","0","0.0024076771","0.0018802811",6,2016,5000
"5","0.038130734","0.002293578","0.025516055","0.166284404","0.753440367","0.010894495","0","0","0","0","0","0.003440367","0","0","0","0","0","0","0",16,2006,1000
"6","0.3109532","0.02120708","0.07827134","0.2653866","0.3016335","0.005685791","0.003931908","0.003530693","0.004654095","0","0.001341205","0.0005043847","0","0","0","0.001146329","3.438987e-05","0.001066086","0.0006534075",16,2006,5000
"7","0.037844037","0.002293578","0.024655963","0.166857798","0.753440367","0.011754587","0","0","0","0","0","0.00315367","0","0","0","0","0","0","0",16,2016,1000
"8","0.3105978","0.02080587","0.07768671","0.2664641","0.3027684","0.005594085","0.003851665","0.003106551","0.004654095","0","0.001123402","0.0004929214","0","0","0","0.001100476","3.438987e-05","0.001066086","0.0006534075",16,2016,5000
"9","0","0.001146132","0.036389685","0.708595989","0.253868195","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2,2006,1000
"10","0.243201724","0.024384372","0.097606273","0.412115376","0.168982437","0.009056725","0.017528775","0.006385564","0.008815977","0","0.003611226","0.001066171","0","0","0","0.002854588","0","0.002797267","0.001593525",2,2006,5000
"11","0","0.0005730659","0.0358166189","0.7094555874","0.2541547278","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2,2016,1000
"12","0.242720227","0.024143624","0.096815243","0.413089834","0.170220571","0.008139588","0.017482918","0.006706562","0.008632549","0","0.003530976","0.001318384","0","0","0","0.002797267","0","0.002774339","0.001627918",2,2016,5000
"13","0","0.0140642939","0.1954649828","0.6524110218","0.1283008037","0.0002870264","0.0034443169","0.0002870264","0","0","0.0028702641","0","0","0","0","0.0028702641","0","0","0",3,2006,1000
"14","0.2680759839","0.0400440221","0.1413864655","0.3015510897","0.1864288253","0.0077611803","0.0270322943","0.0084948813","0.0122780268","0","0.0007910213","0.0002866019","0","0","0","0.0013986174","0","0.0030494446","0.0014215456",3,2006,5000
"15","0","0.0132032147","0.1937428243","0.6535591274","0.1297359357","0.0002870264","0.0034443169","0.0002870264","0","0","0.0028702641","0","0","0","0","0.0028702641","0","0","0",3,2016,1000
"16","0.2677664538","0.038553692","0.1387153355","0.3041763634","0.1884465029","0.0073599376","0.0270093662","0.0085522017","0.0122550986","0","0.0007795573","0.0003324582","0","0","0","0.0013871534","0","0.0030035883","0.0016622912",3,2016,5000
"17","0","0.03297018","0.12586009","0.50630734","0.33486239","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4,2006,1000
"18","0.1245342291","0.0458605152","0.1345318215","0.3179738824","0.323454214","0.0025681889","0.0260258424","0.0092982195","0.0086103117","0","0.0009630708","0.0006764426","0","0","0","0.0015936529","0","0.0024650027","0.0014446062",4,2006,5000
"19","0","0.0326834862","0.123853211","0.5074541284","0.3351490826","0.0008600917","0","0","0","0","0","0","0","0","0","0","0","0","0",4,2016,1000
"20","0.1237316701","0.044324188","0.1316311439","0.3209777462","0.3260224029","0.0021898396","0.0260143773","0.0093096846","0.0086103117","0","0.0009401406","0.0007910939","0","0","0","0.0015936529","0","0.0024191422","0.0014446062",4,2016,5000
"21","0.0083237658","0.0378874856","0.2999425947","0.358783008","0.2907577497","0.0002870264","0","0.0028702641","0","0","0","0.0002870264","0","0","0","0.0008610792","0","0","0",7,2006,1000
"22","0.1579586877","0.0568215686","0.2604255026","0.3511428506","0.1104679154","0.0042183452","0.0117609299","0.0256539581","0.0163804764","0","0.0009514203","0.0002980353","0","0","0","0.0008482542","0","0.0028084092","0.0002636466",7,2006,5000
"23","0.0083237658","0.0358783008","0.2982204363","0.3619402985","0.2913318025","0","0","0.0025832377","0","0","0","0.0008610792","0","0","0","0.0008610792","0","0","0",7,2016,1000
"24","0.1575574864","0.0555377244","0.2585799766","0.3535156698","0.1124739219","0.004023476","0.0115660607","0.0251495908","0.0163804764","0","0.0007336253","0.0006075334","0","0","0","0.0008253284","0","0.0027854834","0.0002636466",7,2016,5000
"25","0","0.0575436587","0.236186659","0.5516747781","0.1414257086","0","0.0002862869","0","0.0125966218","0","0","0","0","0","0","0.0002862869","0","0","0",8,2006,1000
"26","0.2476241789","0.0372565428","0.1327020738","0.2661263513","0.2689693121","0.0027512524","0.0164960508","0.0112915984","0.0107986656","0","0.0012953813","0.0008826935","0","0","0","0.0016278243","0","0.0009400112","0.0012380636",8,2006,5000
"27","0","0.0572573719","0.2284569138","0.551961065","0.1491554538","0","0.0002862869","0","0.0125966218","0","0","0","0","0","0","0.0002862869","0","0","0",8,2016,1000
"28","0.246649777","0.036511412","0.131544255","0.2690495569","0.2710098243","0.0023729552","0.0164501966","0.0104662226","0.0106725666","0","0.0008253757","0.0008597664","0","0","0","0.0015131888","0","0.0009629383","0.0011119645",8,2016,5000
"29","0","0.0241102181","0.0605625718","0.6584385763","0.2416762342","0.0008610792","0","0.0022962113","0.0045924225","0","0.0031572905","0.0008610792","0","0","0","0.0034443169","0","0","0",9,2006,1000
"30","0.08353203","0.03015957","0.1221743","0.4738181","0.2571072","0.004929158","0.004310147","0.004665505","0.004676968","0","0.003817231","0.0006763263","0","0","0","0.003221147","3.438947e-05","0.004080884","0.00279701",9,2006,5000
"31","0","0.0238231917","0.0605625718","0.6587256028","0.2416762342","0.0008610792","0","0.0022962113","0.0045924225","0","0.0031572905","0.0008610792","0","0","0","0.0034443169","0","0","0",9,2016,1000
"32","0.08277546","0.02941446","0.1205695","0.4753084","0.2592852","0.004459168","0.004275758","0.004390389","0.004711358","0","0.003576505","0.0009743684","0","0","0","0.003117979","3.438947e-05","0.003840158","0.003267",9,2016,5000
"33","0","0.0518476081","0.5047264394","0.3374391292","0.08851332","0","0.0034374105","0.0071612718","0.0008593526","0","0.0042967631","0","0","0","0","0","0","0.0017187052","0",10,2006,1000
"34","0.1754631","0.05695158","0.2411271","0.3538495","0.1072542","0.001880044","0.01365325","0.02307639","0.01791774","0","0.001604916","0.0006763573","0","0","0","0.004402054","2.292737e-05","0.001822726","0.0002980558",10,2006,5000
"35","0","0.0518476081","0.5067315955","0.3403036379","0.0899455743","0","0.0034374105","0.0051561157","0.0008593526","0","0","0","0","0","0","0","0","0.0017187052","0",10,2016,1000
"36","0.1751077586","0.0556676449","0.239258529","0.3565778613","0.1090654806","0.0018227256","0.0136303191","0.0224688188","0.0177687087","0","0.0012151504","0.0009973404","0","0","0","0.0043103448","0","0.0018112619","0.0002980558",10,2016,5000
"37","0","0.005456634","0.134979897","0.715393452","0.140149339","0.001148765","0","0","0","0","0.001435956","0","0","0","0","0.001435956","0","0","0",11,2006,1000
"38","0.3919534036","0.0306591605","0.0968159877","0.2042606373","0.2502952406","0.0029810702","0.0055264455","0.00411617","0.0061111939","0","0.0007338019","0.0003898323","0","0","0","0.0017771765","0","0.002556841","0.0018230391",11,2006,5000
"39","0","0.005169443","0.133831132","0.715393452","0.141585296","0.001148765","0","0","0","0","0.001435956","0","0","0","0","0.001435956","0","0","0",11,2016,1000
"40","0.3901418301","0.0300170838","0.0951878648","0.2059346228","0.2536432118","0.0029122763","0.005411789","0.0035314216","0.0060997283","0","0.0005388858","0.0004700918","0","0","0","0.0016969169","0","0.0024077875","0.0020064896",11,2016,5000
"41","0.2810888252","0.0300859599","0.1406876791","0.4183381089","0.1217765043","0.0025787966","0","0.0008595989","0.0005730659","0","0.0008595989","0","0","0","0","0.0022922636","0","0.0008595989","0",12,2006,1000
"42","0.2328255","0.06153352","0.199193","0.301489","0.1577656","0.001753843","0.01152034","0.0138588","0.01434025","0","0.001593361","0.0009285051","0","0","0","0.00110045","1.146303e-05","0.0009055791","0.001180692",12,2006,5000
"43","0.2810888252","0.0286532951","0.1395415473","0.4194842407","0.123495702","0.0025787966","0","0.0008595989","0.0005730659","0","0.0008595989","0","0","0","0","0.0020057307","0","0.0008595989","0",12,2016,1000
"44","0.2316104405","0.0604101471","0.1978403659","0.3052947717","0.1598977498","0.0014901934","0.0112566915","0.0130105345","0.0139619657","0","0.0012036177","0.0009628942","0","0","0","0.000894116","0","0.0009399681","0.0012265438",12,2016,5000
"45","0.008897819","0.0152124","0.134902411","0.564293915","0.231343284","0.001148106","0.010619977","0.004305396","0.010907003","0","0.004879449","0","0","0","0","0.001148106","0","0.01119403","0.001148106",13,2006,1000
"46","0.1445537","0.04247197","0.1879886","0.4274251","0.1650159","0.003840246","0.003358782","0.00442488","0.004207075","0","0.003140977","0.000573171","0","0","0","0.00569732","2.292684e-05","0.004298783","0.002980489",13,2006,5000
"47","0.008897819","0.015499426","0.134615385","0.564867968","0.23163031","0.002009185","0.010619977","0.003444317","0.010907003","0","0.004305396","0","0","0","0","0.001148106","0","0.010907003","0.001148106",13,2016,1000
"48","0.143705436","0.0411995323","0.1854208222","0.4294082582","0.1679620332","0.0036224408","0.0033243919","0.0042873192","0.0042300021","0","0.0029346356","0.0008597565","0","0","0","0.005536832","0","0.0040580508","0.0034504895",13,2016,5000
"49","0","0.0014347202","0.0771879484","0.5371592539","0.3793400287","0.0005738881","0","0","0","0","0.0040172166","0","0","0","0","0.000286944","0","0","0",14,2006,1000
"50","0.3772786682","0.0270459288","0.0881199697","0.217456605","0.2645318842","0.0032904542","0.0049758089","0.0034853592","0.0051477838","0","0.0009515948","0.0004012749","0","0","0","0.0018802596","1.1465e-05","0.0029235743","0.0024993694",14,2006,5000
"51","0","0.0014347202","0.0766140603","0.5394548063","0.381061693","0.0005738881","0","0","0","0","0.0005738881","0","0","0","0","0.000286944","0","0","0",14,2016,1000
"52","0.3756850336","0.026277774","0.0866409851","0.2191075646","0.2674095985","0.0031872693","0.0048726239","0.0029923643","0.0051363188","0","0.0007337598","0.0004815299","0","0","0","0.0018687946","1.1465e-05","0.0026828094","0.0029121093",14,2016,5000
"53","0.0108726753","0.0091559371","0.017167382","0.0111587983","0.9379113019","0.000286123","0.0097281831","0","0.0028612303","0","0","0","0","0","0","0.0008583691","0","0","0",15,2006,1000
"54","0.222976226","0.0344230725","0.0935028313","0.265171141","0.3495953598","0.0027854834","0.0197849561","0.0013296958","0.005330246","0","0.0005272932","0.0004241271","0","0","0","0.0008367913","0","0.0025562255","0.000756551",15,2006,5000
"55","0.0108726753","0.0091559371","0.0168812589","0.0114449213","0.9379113019","0.000286123","0.0097281831","0","0.0028612303","0","0","0","0","0","0","0.0008583691","0","0","0",15,2016,1000
"56","0.2227698939","0.0337352988","0.0918407116","0.2667186318","0.3509594443","0.0027510947","0.0197849561","0.0012723813","0.005330246","0","0.0003668126","0.0005158303","0","0","0","0.0007336253","0","0.0024874481","0.0007336253",15,2016,5000
"57","0","0.0352536543","0.1453138435","0.6749785039","0.0854112926","0.0011464603","0.0292347377","0.0085984523","0.0143307538","0","0.0017196905","0","0","0","0","0.0034393809","0","0.0005732302","0",17,2006,1000
"58","0.5492255305","0.0225633735","0.0549065019","0.1473727657","0.1896217654","0.0055949829","0.0182868805","0.0032217012","0.0047924238","0","0.0003898144","0.0002407677","0","0","0","0.0003668841","0","0.0024306073","0.0009860011",17,2006,5000
"59","0","0.0355402694","0.1464603038","0.67927773","0.0856979077","0","0.0292347377","0.0071653769","0.0143307538","0","0.0014330754","0","0","0","0","0.0002866151","0","0.0005732302","0",17,2016,1000
"60","0.54917967","0.0220130473","0.0537714541","0.1487829766","0.1902867429","0.0054000757","0.0182754153","0.0031758407","0.0047924238","0","0.0003668841","0.0002522328","0","0","0","0.0002293026","0","0.0023618165","0.0011121175",17,2016,5000
"61","0","0.03494701","0.19450014","0.58350043","0.18705242","0","0","0","0","0","0","0","0","0","0","0","0","0","0",18,2006,1000
"62","0.2354175265","0.0476223231","0.1556495621","0.2713922135","0.2328610079","0.0024648049","0.0191566928","0.0145710093","0.015430825","0","0.0014903471","0.0008024946","0","0","0","0.0013871693","0","0.0006419957","0.0011120282",18,2006,5000
"63","0","0.03351475","0.19048983","0.58722429","0.18877113","0","0","0","0","0","0","0","0","0","0","0","0","0","0",18,2016,1000
"64","0.2342825698","0.0466937222","0.1543770349","0.2748085477","0.2351882423","0.0019718439","0.0191223002","0.0136653368","0.0151900766","0","0.0010203146","0.0007451736","0","0","0","0.0012266703","0","0.0006763883","0.0010317788",18,2016,5000
"65","0","0.03874856","0.22847302","0.60878301","0.10591274","0","0.01808266","0","0","0","0","0","0","0","0","0","0","0","0",19,2006,1000
"66","0.2507967442","0.0385761779","0.1384271466","0.309950705","0.2017195919","0.0077381635","0.0268600252","0.008265505","0.011016852","0","0.0007680844","0.0002865986","0","0","0","0.0013183538","0","0.0030264817","0.0012495701",19,2006,5000
"67","0","0.03731343","0.22617681","0.61079219","0.1076349","0","0.01808266","0","0","0","0","0","0","0","0","0","0","0","0",19,2016,1000
"68","0.2504986816","0.037085865","0.1357904391","0.3125415568","0.2037372464","0.0073369254","0.0268256334","0.0083228247","0.0109939241","0","0.0007566204","0.0003324544","0","0","0","0.0013068898","0","0.0029806259","0.001490313",19,2016,5000
"69","0","0.01490826","0.26748853","0.64048165","0.07712156","0","0","0","0","0","0","0","0","0","0","0","0","0","0",20,2006,1000
"70","0.2607096","0.04192125","0.1859919","0.3546856","0.1215453","0.003152404","0.003668252","0.007233335","0.004482146","0","0.003335817","0.0006304809","0","0","0","0.005353356","2.292658e-05","0.00428727","0.002980455",20,2006,5000
"71","0","0.01175459","0.26232798","0.64478211","0.08113532","0","0","0","0","0","0","0","0","0","0","0","0","0","0",20,2016,1000
"72","0.2597810512","0.0407749183","0.1835960337","0.3569438872","0.1245257064","0.0029231386","0.0036338626","0.0068894366","0.0043904396","0","0.0029346019","0.0009170631","0","0","0","0.0051928698","0","0.004046541","0.0034504499",20,2016,5000
"73","0.001433075","0.006305532","0.045285182","0.656061909","0.290914302","0","0","0","0","0","0","0","0","0","0","0","0","0","0",21,2006,1000
"74","0.0927724","0.0298504","0.1195392","0.4614432","0.2642288","0.004894824","0.003725569","0.004711412","0.004516536","0","0.003565083","0.0006877973","0","0","0","0.003152404","3.438987e-05","0.004080931","0.002797042",21,2006,5000
"75","0.001433075","0.006305532","0.045285182","0.655488679","0.291487532","0","0","0","0","0","0","0","0","0","0","0","0","0","0",21,2016,1000
"76","0.0919585","0.02909383","0.1177968","0.4629449","0.2666017","0.004527999","0.003691179","0.004344586","0.004539462","0","0.003324354","0.0009858428","0","0","0","0.003049235","3.438987e-05","0.003840202","0.003267037",21,2016,5000
"77","0","0.0496555683","0.4804822044","0.3510332951","0.1067738232","0","0.0017221584","0.0040183697","0.0002870264","0","0.0043053961","0","0","0","0","0","0","0.0017221584","0",22,2006,1000
"78","0.1816639","0.06253798","0.2482374","0.3374643","0.1001181","0.001880152","0.0142731","0.02399486","0.01993649","0","0.001616472","0.0006993248","0","0","0","0.004585736","2.292868e-05","0.002671191","0.0002980728",22,2006,5000
"79","0","0.0490815155","0.4827784156","0.3544776119","0.1079219288","0","0.0017221584","0.0020091848","0.0002870264","0","0","0","0","0","0","0","0","0.0017221584","0",22,2016,1000
"80","0.1813085398","0.0610361471","0.2461623121","0.3405367604","0.1020555562","0.0017999014","0.0142501748","0.0233643253","0.0197874511","0","0.0012266844","0.0010203263","0","0","0","0.0044940213","0","0.0026597269","0.0002980728",22,2016,5000
"81","0","0.0103063269","0.1193816204","0.7134268537","0.0867449184","0.0011451474","0","0.0229029488","0.0397938735","0","0.0002862869","0","0","0","0","0.0034354423","0","0.0025765817","0",23,2006,1000
"82","0.5577809369","0.0231353037","0.0588356683","0.1549652627","0.1653520739","0.0056061266","0.0193290991","0.0050099741","0.0055373398","0.0000000000","0.0004012565","0.0001490381","0.0000000000","0.0000000000","0.0000000000","0.0004815078","0.0000000000","0.0024304680","0.0009859446",23,2006,5000
